year,state,office,candidate,party_detailed,candidatevotes,totalvotes,special
2022,Alabama,US SENATE,Katie Britt,Republican,425428,1419718,
2022,Alabama,US SENATE,Will Boyd,Democrat,940048,1419718,
2022,Alaska,US SENATE,Lisa Murkowski,Republican,126660,267047,
2022,Alaska,US SENATE,Kelly Tshibaka,Republican,117534,267047,
2022,Arizona,US SENATE,Mark Kelly,Democrat,1322027,2592313,
2022,Arizona,US SENATE,Blake Masters,Republican,1196308,2592313,
2022,Arkansas,US SENATE,John Boozman,Republican,592437,914227,
2022,Arkansas,US SENATE,Natalie James,Democrat,280187,914227,
2022,California,US SENATE,Alex Padilla,Democrat,6621616,11146610,
2022,California,US SENATE,Mark Meuser,Republican,4222025,11146610,
2022,Colorado,US SENATE,Michael Bennet,Democrat,1397170,2540666,
2022,Colorado,US SENATE,Joe O'Dea,Republican,1031693,2540666,
2022,Connecticut,US SENATE,Richard Blumenthal,Democrat,724785,1297811,
2022,Connecticut,US SENATE,Leora Levy,Republican,536020,1297811,
2022,Florida,US SENATE,Marco Rubio,Republican,4474847,7796916,
2022,Florida,US SENATE,Val Demings,Democrat,3201522,7796916,
2022,Georgia,US SENATE,Raphael Warnock,Democrat,1946117,3964926,
2022,Georgia,US SENATE,Herschel Walker,Republican,1908442,3964926,
2022,Hawaii,US SENATE,Brian Schatz,Democrat,290894,419363,
2022,Hawaii,US SENATE,Bob McDermott,Republican,106358,419363,
2022,Idaho,US SENATE,Mike Crapo,Democrat,358539,590890,
2022,Idaho,US SENATE,David Roth,Republican,169808,590890,
2022,Idaho,US SENATE,Scott Cleveland,Independent,49917,590890,
2022,Illinois,US SENATE,Tammy Duckworth,Democrat,2329136,4144125,
2022,Illinois,US SENATE,Kathy Salvi,Republican,1701055,4144125,
2022,Indiana,US SENATE,Todd Young,Republican,1090390,1880755,
2022,Indiana,US SENATE,Thomas McDermott Jr.,Democrat,704480,1880755,
2022,Iowa,US SENATE,Chuck Grassley,Republican,681501,1230417,
2022,Iowa,US SENATE,Michael Franken,Democrat,533330,1230417,
2022,Kansas,US SENATE,Jerry Moran,Republican,602976,1008998,
2022,Kansas,US SENATE,Mark Holland,Democrat,372214,1008998,
2022,Kentucky,US SENATE,Rand Paul,Republican,913326,1501265,
2022,Kentucky,US SENATE,Charles Booker,Democrat,564311,1501265,
2022,Louisiana,US SENATE,John Kennedy,Republican,851527,1410476,
2022,Louisiana,US SENATE,Gary Chamber,Democrat,246928,1410476,
2022,Louisiana,US SENATE,Luke Mixon,Democrat,182877,1410476,
2022,Maryland,US SENATE,Chris Van Hollen,Democrat,1316897,2031635,
2022,Maryland,US SENATE,Chris Chaffee,Republican,682293,2031635,
2022,Missouri,US SENATE,Eric Schmitt,Republican,1146966,2069130,
2022,Missouri,US SENATE,Trudy Busch Valentine,Democrat,872694,2069130,
2022,Nevada,US SENATE,Catherine Cortez Masto,Democrat,498316,1023617,
2022,Nevada,US SENATE,Adam Laxalt,Republican,490388,1023617,
2022,New Hampshire,US SENATE,Maggie Hassan,Democrat,322193,626931,
2022,New Hampshire,US SENATE,Don Bolduc,Republican,275928,626931,
2022,New York,US SENATE,Chuck Schumer,Democrat,3320561,5962278,
2022,New York,US SENATE,Joe Pinion,Republican,2501151,5962278,
2022,North Carolina,US SENATE,Ted Budd,Republican,1905786,3790202,
2022,North Carolina,US SENATE,Cheri Beasley,Democrat,1784049,3790202,
2022,North Dakota,US SENATE,John Hoeven,Republican,135478,242526,
2022,North Dakota,US SENATE,Katrina Christiansen,Democrat,59997,242526,
2022,North Dakota,US SENATE,Rick Becker,Independent,44412,242526,
2022,Ohio,US SENATE,J. D. Vance,Republican,2192114,4201368,
2022,Ohio,US SENATE,Tim Ryan,Democrat,1939489,4201368,
2022,Oklahoma,US SENATE,James Lankford,Republican,739960,1153284,
2022,Oklahoma,US SENATE,Madison Horn,Democrat,369370,1153284,
2022,Oklahoma,US SENATE,Markwayne Mulin,Republican,710643,1153284,TRUE
2022,Oklahoma,US SENATE,Kendra Horn,Democrat,405389,1153284,TRUE
2022,Oregon,US SENATE,Ron Wyden,Democrat,1076424,1997689,
2022,Oregon,US SENATE,Jo Rae Perkins,Republican,788991,1997689,
2022,Pennsylvania,US SENATE,John Fetterman,Democrat,2751012,5366540,
2022,Pennsylvania,US SENATE,Mehmet Oz,Republican,2487260,5366540,
2022,South Carolina,US SENATE,Tim Scott,Republican,1066274,1718626,
2022,South Carolina,US SENATE,Krystle Matthews,Democrat,627616,1718626,
2022,South Dakota,US SENATE,John Thune,Republican,242316,354670,
2022,South Dakota,US SENATE,Brian Bengs,Democrat,91007,354670,
2022,Utah,US SENATE,Mike Lee,Republican,571974,1084634,
2022,Utah,US SENATE,Evan McMullin,Independent,459958,1084634,
2022,Vermont,US SENATE,Peter Welch,Democrat,196575,291955,
2022,Vermont,US SENATE,Gerald Malloy,Republican,80468,291955,
2022,Washington,US SENATE,Patty Murray,Democrat,1741827,3067686,
2022,Washington,US SENATE,Tiffany Smiley,Republican,1299322,3067686,
2022,Wisconsin,US SENATE,Ron Johnson,Republican,1377185,2656490,
2022,Wisconsin,US SENATE,Mandela Barnes,Democrat,1310467,2656490,
