state,office,year,candidate,party,candidatevotes,totalvotes,rankedchoice,
Alabama,GOVERNOR,2022,Kay Ivey,Republican,946932,1415283,,
Alabama,GOVERNOR,2022,Yolanda Flowers,Democrat,412961,1415283,,
Alabama,GOVERNOR,2018,Kay Ivey,Republican,1022457,1719589,,
Alabama,GOVERNOR,2018,Walt Maddox,Democrat,694495,1719589,,
Alabama,GOVERNOR,2014,Robert Bentley,Republican,750231,1180413,,
Alabama,GOVERNOR,2014,Parker Griffith,Democrat,427787,1180413,,
Alabama,GOVERNOR,2010,Robert J. Bentley,Republican,860472,1494273,,
Alabama,GOVERNOR,2010,Ron Sparks,Democrat,625710,1494273,,
Alabama,GOVERNOR,2006,Bob Riley,Republican,717287,1236037,,
Alabama,GOVERNOR,2006,Lucy Baxley,Democrat,518750,1236037,,
Alabama,GOVERNOR,2002,Bob Riley,Republican,672225,1367053,,
Alabama,GOVERNOR,2002,Don Siegelman,Democrat,669105,1367053,,
Alaska,GOVERNOR,2022,Mike Dunleavy,Republican,132632,263752,TRUE,
Alaska,GOVERNOR,2022,Les Gara,Democrat,63851,263752,TRUE,
Alaska,GOVERNOR,2022,Bill Walker,Independent,54668,263752,TRUE,
Alaska,GOVERNOR,2022,Charlie Pierce,Republican,11817,263752,TRUE,
Alaska,GOVERNOR,2018,Mike Dunleavy,Republican,145631,283134,,
Alaska,GOVERNOR,2018,Mark Begich,Democrat,125739,283134,,
Alaska,GOVERNOR,2014,Bill Walker,Independent,134658,279958,,
Alaska,GOVERNOR,2014,Sean Parnell,Republican,128435,279958,,
Alaska,GOVERNOR,2010,Sean Parnell,Republican,151318,256192,,
Alaska,GOVERNOR,2010,Ethan A. Berkowitz,Democrat,96519,256192,,
Alaska,GOVERNOR,2006,Sarah Palin,Republican,114697,236938,,
Alaska,GOVERNOR,2006,Tony Knowles,Democrat,97328,236938,,
Alaska,GOVERNOR,2006,Andrew Halcro,Independent,22443,236938,,
Alaska,GOVERNOR,2002,Lisa Murkowski,Republican,129279,231481,,
Alaska,GOVERNOR,2002,Loren Leman,Democrat,94216,231481,,
Arizona,GOVERNOR,2022,Katie Hobbs,Democrat,1287891,2559485,,
Arizona,GOVERNOR,2022,Kari Lake,Republican,1270774,2559485,,
Arizona,GOVERNOR,2018,Doug Ducey,Republican,1330863,2376166,,
Arizona,GOVERNOR,2018,David Garcia,Democrat,994341,2376166,,
Arizona,GOVERNOR,2018,Angel Torres,Green,50962,2376166,,
Arizona,GOVERNOR,2014,Doug Ducey,Republican,805062,1506416,,
Arizona,GOVERNOR,2014,Fred DuVal,Democrat,626921,1506416,,
Arizona,GOVERNOR,2010,Jan Brewer,Republican,938934,1729736,,
Arizona,GOVERNOR,2010,Terry Goddard,Democrat,733935,1729736,,
Arizona,GOVERNOR,2006,Janet Napolitano,Democrat,959830,1533645,,
Arizona,GOVERNOR,2006,Len Munsil,Republican,543528,1533645,,
Arizona,GOVERNOR,2002,Janey Napolitano,Democrat,566284,1216111,,
Arizona,GOVERNOR,2002,Matt Salmon,Republican,544465,1216111,,
Arkansas,GOVERNOR,2022,Sarah Huckabee Sanders,Republican,571105,907037,,
Arkansas,GOVERNOR,2022,Chris Jones,Democrat,319242,907037,,
Arkansas,GOVERNOR,2018,Asa Hutchinson,Republican,582406,891509,,
Arkansas,GOVERNOR,2018,Jared Henderson,Democrat,283218,891509,,
Arkansas,GOVERNOR,2014,Asa Hutchinson,Republican,470429,848592,,
Arkansas,GOVERNOR,2014,Mike Ross,Democrat,352115,848592,,
Arkansas,GOVERNOR,2010,Mike Beebe,Democrat,503335,781333,,
Arkansas,GOVERNOR,2010,Jim Keet,Republican,262762,781333,,
Arkansas,GOVERNOR,2006,Mike Beebe,Democrat,430765,774680,,
Arkansas,GOVERNOR,2006,Asa Hutchinson,Republican,315040,774680,,
Arkansas,GOVERNOR,2002,Mike Huckabee,Democrat,427082,805696,,
Arkansas,GOVERNOR,2002,Jimmie Lou Fischer,Republican,378250,805696,,
California,GOVERNOR,2022,Gavin Newsome,Democrat,6470104,10933018,,
California,GOVERNOR,2022,Brian Dahle,Republican,4462914,10933018,,
California,GOVERNOR,2018,Gavin Newsome,Democrat,7721410,12464235,,
California,GOVERNOR,2018,John Cox,Republican,4742825,12464235,,
California,GOVERNOR,2014,Jerry Brown,Democrat,4388368,7317581,,
California,GOVERNOR,2014,Neel Kashkari,Republican,2929213,7317581,,
California,GOVERNOR,2010,Jerry Brown,Democrat,5431210,10095185,,
California,GOVERNOR,2010,Meg Whitman,Republican,4128931,10095185,,
California,GOVERNOR,2006,Phil Angelides,Democrat,3376732,8679416,,
California,GOVERNOR,2006,Arnold Schwarzenegger,Republican,4850157,8679416,,
California,GOVERNOR,2002,Gray Davis,Democrat,3533490,7476311,,
California,GOVERNOR,2002,Bill Simon,Republican,3169801,7476311,,
California,GOVERNOR,2002,Peter Camejo,Green,393036,7476311,,
Colorado,GOVERNOR,2022,Jared Polis,Democrat,1468481,2508830,,
Colorado,GOVERNOR,2022,Heidi Ganahl,Republican,983040,2508830,,
Colorado,GOVERNOR,2018,Jared Polis,Democrat,1348888,2525062,,
Colorado,GOVERNOR,2018,Walker Stapleton,Republican,1080801,2525062,,
Colorado,GOVERNOR,2014,John Hickenlooper,Democrat,1006433,2041574,,
Colorado,GOVERNOR,2014,Bob Beauprez,Republican,938195,2041574,,
Colorado,GOVERNOR,2010,John Hickenlooper,Democrat,912005,1786644,,
Colorado,GOVERNOR,2010,Tom Tancredo,American Constitution Party,651232,1786644,,
Colorado,GOVERNOR,2010,Dan Maes,Republican,199034,1786644,,
Colorado,GOVERNOR,2006,Bill Riter,Democrat,888095,1558405,,
Colorado,GOVERNOR,2006,Bob Beauprez,Republican,625886,1558405,,
Colorado,GOVERNOR,2002,Bill Owens,Republican,884583,1412602,,
Colorado,GOVERNOR,2002,Rollie Heath,Democrat,475373,1412602,,
Connecticut,GOVERNOR,2022,Ned Lamont,Democrat,710186,1268893,,
Connecticut,GOVERNOR,2022,Bob Stefanowski,Republican,546209,1268893,,
Connecticut,GOVERNOR,2018,Ned Lamont,Democrat,694510,1406803,,
Connecticut,GOVERNOR,2018,Bob Stefanowski,Republican,650138,1406803,,
Connecticut,GOVERNOR,2018,Oz Griebel,Griebel Frank Party,54741,1406803,,
Connecticut,GOVERNOR,2014,Dan Malloy,Democrat,554314,1092773,,
Connecticut,GOVERNOR,2014,Tom Foley,Republican,526295,1092773,,
Connecticut,GOVERNOR,2010,Dan Malloy,Democrat,567278,1145799,,wikipedia
Connecticut,GOVERNOR,2010,Thomas C. Foley,Republican,560874,1145799,,
Connecticut,GOVERNOR,2006,Jodi Rell,Republican,710048,1123212,,
Connecticut,GOVERNOR,2006,John DeStefano Jr.,Democrat,398220,1123212,,
Connecticut,GOVERNOR,2002,John G. Rowland,Republican,573958,1022998,,
Connecticut,GOVERNOR,2002,Bill Curry,Democrat,448984,1022998,,
Delaware,GOVERNOR,2020,John Carney,Democrat,292903,492635,,
