year,office,state,special
2024,US PRESIDENT,ALL,
2024,US SENATE,Arizona,
2024,US SENATE,California,
2024,US SENATE,Connecticut,
2024,US SENATE,Delaware,
2024,US SENATE,Florida,
2024,US SENATE,Hawaii,
2024,US SENATE,Indiana,
2024,US SENATE,Maine,
2024,US SENATE,Maryland,
2024,US SENATE,Massachusetts,
2024,US SENATE,Michigan,
2024,US SENATE,Minnesota,
2024,US SENATE,Mississippi,
2024,US SENATE,Missouri,
2024,US SENATE,Montana,
2024,US SENATE,Nebraska,
2024,US SENATE,Nevada,
2024,US SENATE,New Jersey,
2024,US SENATE,New Mexico,
2024,US SENATE,New York,
2024,US SENATE,North Dakota,
2024,US SENATE,Ohio,
2024,US SENATE,Pennsylvania,
2024,US SENATE,Rhode Island,
2024,US SENATE,Tennessee,
2024,US SENATE,Texas,
2024,US SENATE,Utah,
2024,US SENATE,Vernmont,
2024,US SENATE,Virginia,
2024,US SENATE,Washington,
2024,US SENATE,West Virginia,
2024,US SENATE,Wisconsin,
2024,US SENATE,Wyoming,
2024,US SENATE,Nebraska,TRUE
2024,GOVERNOR,Deleware,
2024,GOVERNOR,Indiana,
2024,GOVERNOR,Missouri,
2024,GOVERNOR,Montana,
2024,GOVERNOR,New Hampshire,
2024,GOVERNOR,North Carolina,
2024,GOVERNOR,North Dakota,
2024,GOVERNOR,Utah,
2024,GOVERNOR,Vermont,
2024,GOVERNOR,Washington,
2024,GOVERNOR,West Virginia,
2024,US HOUSE,ALL,
